altura,peso,idade
1.52,40.1,10
1.72,40.3,10
1.75,40.3,10
1.99,40.4,10
1.81,40.5,10
1.44,40.6,10
1.58,40.6,10
1.58,40.6,10
1.76,40.7,10
1.61,40.8,10
1.77,40.8,10
1.41,41.0,10
1.48,41.1,10
1.68,41.1,10
1.74,41.6,10
1.74,41.7,10
1.63,41.9,10
1.86,42.4,10
1.79,42.9,10
1.82,43.0,10
1.42,43.1,10
1.57,43.2,10
1.47,43.3,10
1.63,43.4,10
1.73,43.4,10
1.52,44.0,10
1.67,44.5,10
1.7,44.6,10
1.87,44.6,10
1.48,45.0,10
1.86,45.0,10
1.91,45.0,10
2.0,45.0,10
1.81,45.1,10
1.82,45.2,10
1.97,45.3,10
1.94,45.5,10
1.54,45.8,10
1.77,46.1,10
1.8,46.1,10
1.94,46.1,10
1.47,46.4,10
1.61,46.9,10
1.98,47.2,10
1.53,47.3,10
1.6,47.4,10
1.78,47.7,10
1.47,47.8,10
1.82,47.8,10
1.41,47.9,10
1.48,48.1,10
1.69,48.1,10
1.94,48.7,10
1.74,48.8,10
1.5,49.0,10
1.65,49.3,10
1.99,49.3,10
1.96,49.9,10
1.73,50.0,10
1.76,50.1,10
1.96,50.2,10
1.81,50.5,10
1.86,50.6,10
1.89,51.0,10
1.46,51.1,10
1.55,51.3,10
1.74,51.3,10
1.78,51.3,10
1.63,51.6,10
1.71,51.6,10
1.8,51.8,10
1.96,51.9,10
1.54,52.0,10
1.62,52.2,10
1.62,52.6,10
1.76,52.6,10
1.93,52.7,10
1.72,52.9,10
1.53,53.1,10
1.78,53.2,10
2.0,53.2,10
1.84,53.5,10
1.6,53.6,10
1.6,53.8,10
1.93,53.8,10
1.46,53.9,10
1.64,54.0,10
1.68,54.0,10
1.56,54.5,10
1.59,55.2,10
1.41,55.4,10
1.48,55.7,10
1.76,55.8,10
1.95,56.1,10
1.67,56.3,10
1.42,56.9,10
1.59,57.0,10
1.41,57.1,10
1.87,57.3,10
1.7,57.6,10
1.99,57.9,10
1.89,58.0,10
1.99,58.5,10
1.72,58.6,10
1.74,58.6,10
1.95,58.7,10
1.72,58.8,10
2.0,58.8,10
1.46,58.9,10
1.82,59.3,10
1.71,59.6,10
1.84,59.6,10
1.57,59.7,10
1.63,59.7,10
1.64,59.7,10
1.83,59.7,10
1.47,60.0,10
1.94,60.0,10
1.75,60.2,10
1.67,60.3,10
1.55,60.5,10
1.73,60.6,10
1.75,60.6,10
1.55,60.7,10
1.62,60.7,10
1.7,60.7,10
1.72,60.9,10
1.61,61.2,10
1.79,61.2,10
1.54,61.5,10
1.54,61.5,10
1.77,61.6,10
1.84,61.7,10
1.96,61.9,10
1.86,62.1,10
1.75,62.2,10
1.78,62.3,10
1.82,62.4,10
1.59,62.6,10
1.74,63.2,10
1.77,63.2,10
1.82,63.5,10
1.98,63.5,10
1.96,63.6,10
1.72,64.1,10
1.41,64.2,10
1.65,64.4,10
1.42,64.8,10
1.64,64.8,10
1.68,64.8,10
1.71,64.9,10
1.91,65.0,10
1.42,65.1,10
1.76,65.5,10
1.95,65.7,10
1.77,65.8,10
1.55,66.2,10
1.61,66.7,10
1.53,66.8,10
1.87,66.8,10
1.71,66.9,10
1.66,67.0,10
1.81,67.0,10
1.7,67.2,10
1.49,67.4,10
1.79,67.4,10
1.53,67.6,10
1.92,67.6,10
1.75,68.0,10
1.6,68.5,10
1.84,68.8,10
1.71,68.9,10
1.71,69.0,10
1.84,69.2,10
1.84,69.2,10
1.42,69.3,10
1.73,70.0,10
1.98,70.0,10
1.7,70.1,10
1.82,70.2,10
1.9,70.3,10
1.72,70.4,10
1.66,70.5,10
1.82,70.5,10
1.51,70.8,10
1.97,70.9,10
1.75,71.3,10
1.9,71.4,10
1.64,71.6,10
1.68,71.8,10
1.75,71.9,10
1.58,72.0,10
1.8,72.1,10
1.71,72.5,10
1.51,72.6,10
1.55,72.7,10
1.74,72.8,10
1.44,73.3,10
1.54,73.9,10
1.84,73.9,10
1.93,73.9,10
1.74,74.2,10
1.84,74.5,10
1.75,74.6,10
1.94,74.9,10
1.6,75.0,10
1.78,75.1,10
1.81,75.8,10
1.99,76.4,10
1.91,76.5,10
1.98,76.6,10
1.91,76.8,10
1.76,77.0,10
1.73,77.1,10
1.99,77.5,10
1.97,77.8,10
1.44,78.0,10
1.68,78.1,10
1.7,78.8,10
1.85,78.8,10
1.43,78.9,10
1.62,79.2,10
1.96,79.3,10
1.54,79.4,10
1.76,79.7,10
1.5,79.8,10
1.76,79.8,10
1.62,80.1,10
1.51,80.2,10
1.64,80.2,10
1.66,80.2,10
1.92,80.4,10
1.64,80.6,10
1.65,80.6,10
1.6,80.7,10
1.95,80.8,10
1.93,81.3,10
1.76,81.4,10
1.8,81.6,10
1.65,81.7,10
1.95,82.0,10
1.6,82.2,10
1.87,82.2,10
1.45,82.3,10
1.81,82.3,10
1.79,82.5,10
1.46,82.6,10
1.5,82.8,10
1.8,83.0,10
1.71,83.1,10
1.63,83.2,10
1.59,83.3,10
1.99,83.3,10
1.54,83.7,10
1.67,83.8,10
1.65,84.2,10
1.67,84.2,10
1.59,84.4,10
1.77,84.4,10
1.5,84.5,10
1.79,84.7,10
1.46,84.8,10
1.47,85.1,10
1.69,85.1,10
1.91,85.1,10
1.59,85.2,10
1.6,85.2,10
1.72,85.2,10
1.81,85.4,10
1.91,85.4,10
1.53,85.9,10
1.62,86.0,10
1.83,86.0,10
2.0,86.0,10
1.49,86.1,10
1.47,86.3,10
1.76,86.3,10
1.81,86.5,10
1.56,86.9,10
1.73,87.0,10
1.41,87.1,10
1.43,87.2,10
1.7,87.7,10
1.98,87.7,10
1.49,88.1,10
1.75,88.2,10
1.65,88.3,10
1.61,88.7,10
1.82,88.7,10
1.54,89.0,10
1.84,89.1,10
1.94,89.2,10
1.49,90.0,10
1.75,90.2,10
1.72,90.3,10
1.55,90.4,10
1.47,90.5,10
1.68,90.5,10
1.93,90.8,10
1.56,91.1,10
1.84,91.1,10
1.89,91.2,10
1.94,91.2,10
1.67,91.8,10
1.7,92.1,10
1.6,92.3,10
1.68,92.5,10
1.48,92.6,10
1.56,92.8,10
1.94,92.8,10
1.82,93.6,10
1.44,93.7,10
1.41,93.8,10
1.93,93.8,10
1.93,93.8,10
1.77,94.2,10
1.63,94.3,10
1.52,94.4,10
1.58,94.6,10
1.5,94.7,10
1.46,94.8,10
1.59,94.8,10
1.52,94.9,10
1.74,95.1,10
1.68,95.3,10
1.46,95.4,10
1.6,95.4,10
1.79,95.4,10
1.93,95.9,10
1.57,96.1,10
1.83,96.1,10
1.97,96.1,10
1.57,96.2,10
1.64,96.5,10
1.61,96.6,10
1.71,96.8,10
1.93,96.9,10
1.43,97.0,10
1.9,97.2,10
1.86,97.5,10
1.79,97.7,10
1.88,97.8,10
1.61,98.4,10
1.74,98.5,10
1.65,98.9,10
1.72,98.9,10
1.81,99.2,10
1.67,99.3,10
1.86,99.3,10
1.98,99.3,10
1.46,99.4,10
1.73,99.4,10
1.92,99.5,10
1.43,99.6,10
1.76,99.7,10
1.46,99.8,10
1.62,99.8,10
1.88,99.8,10
1.8,99.9,10
1.51,100.0,10
1.65,100.0,10
1.44,100.2,10
1.58,100.2,10
1.59,100.2,10
1.59,100.4,10
1.41,100.5,10
1.51,100.5,10
1.95,100.6,10
1.46,100.7,10
1.57,100.7,10
1.98,100.8,10
1.62,100.9,10
1.98,101.3,10
1.42,101.7,10
1.89,101.7,10
1.78,102.5,10
1.74,102.9,10
1.83,103.1,10
1.7,103.2,10
1.85,103.2,10
1.94,103.4,10
1.76,103.7,10
1.58,103.9,10
1.83,104.0,10
1.88,104.2,10
1.87,104.4,10
1.94,104.4,10
1.52,104.7,10
1.78,104.7,10
1.77,104.9,10
1.63,105.2,10
1.96,105.4,10
1.67,105.5,10
1.53,105.6,10
1.58,105.8,10
1.85,105.9,10
1.5,106.0,10
1.76,106.0,10
1.97,106.1,10
1.69,106.4,10
1.73,106.7,10
1.76,107.0,10
1.75,107.1,10
1.82,107.1,10
1.98,107.2,10
1.71,107.3,10
1.82,107.5,10
1.42,107.7,10
1.92,107.7,10
1.47,107.8,10
1.74,107.8,10
1.91,107.8,10
1.75,107.9,10
1.56,108.3,10
1.59,108.6,10
1.95,108.8,10
1.59,109.2,10
1.99,109.3,10
1.6,109.5,10
1.54,109.6,10
1.53,109.7,10
1.44,110.0,10
1.93,110.0,10
1.76,110.1,10
1.41,110.2,10
1.75,110.3,10
1.85,110.4,10
1.42,110.7,10
1.46,110.8,10
1.7,110.8,10
1.46,111.0,10
1.78,111.0,10
1.61,111.1,10
1.76,111.1,10
1.42,111.3,10
1.75,111.4,10
1.95,112.0,10
1.93,112.1,10
1.91,112.2,10
1.95,112.3,10
1.91,113.0,10
1.53,113.1,10
1.8,113.3,10
1.62,113.9,10
1.42,114.5,10
1.82,114.9,10
1.43,115.0,10
1.42,115.5,10
1.56,115.5,10
1.51,115.7,10
1.46,115.8,10
1.9,115.8,10
1.89,115.9,10
1.63,116.0,10
1.91,116.1,10
1.74,116.5,10
1.94,116.5,10
1.97,116.5,10
1.87,116.6,10
1.77,117.2,10
1.67,117.4,10
1.85,117.7,10
1.58,117.9,10
1.91,117.9,10
1.6,118.2,10
1.76,118.3,10
1.57,118.4,10
1.94,118.4,10
1.99,118.4,10
1.5,118.5,10
1.79,118.8,10
1.47,118.9,10
1.7,118.9,10
1.47,119.1,10
1.75,119.2,10
1.82,119.6,10
1.46,40.0,11
1.71,40.3,11
1.73,40.3,11
1.74,40.3,11
1.65,40.4,11
2.0,40.5,11
1.61,40.8,11
1.69,41.3,11
1.6,41.4,11
1.94,41.5,11
1.61,41.6,11
1.67,42.0,11
1.54,42.1,11
1.81,42.1,11
1.42,42.5,11
1.98,42.5,11
1.5,42.6,11
1.59,42.6,11
1.75,42.6,11
1.98,42.6,11
1.43,42.7,11
1.65,42.9,11
1.85,42.9,11
1.94,43.1,11
1.76,43.2,11
1.54,43.3,11
1.75,43.3,11
1.56,43.8,11
1.47,44.0,11
1.42,44.2,11
1.56,44.2,11
1.41,44.5,11
1.7,44.6,11
1.81,44.6,11
1.4,45.2,11
1.73,45.2,11
1.9,45.2,11
1.42,45.5,11
1.93,45.7,11
1.95,45.8,11
1.77,46.2,11
1.74,46.3,11
1.72,46.4,11
1.77,46.5,11
1.87,47.2,11
1.96,47.5,11
1.92,47.7,11
1.67,47.8,11
1.77,48.1,11
1.44,48.4,11
1.42,48.6,11
1.99,48.6,11
1.6,49.1,11
1.64,49.2,11
1.6,49.3,11
1.66,49.3,11
1.75,49.3,11
1.79,49.4,11
1.52,49.7,11
1.93,49.9,11
1.54,50.0,11
1.64,50.0,11
1.74,50.0,11
1.77,50.0,11
1.47,50.2,11
1.83,50.3,11
1.87,50.3,11
1.94,50.3,11
1.62,50.8,11
1.88,50.9,11
1.98,51.1,11
1.61,51.4,11
1.53,51.5,11
1.62,51.5,11
1.84,51.8,11
1.84,51.8,11
1.55,52.5,11
1.64,52.7,11
1.62,53.0,11
1.73,53.0,11
1.47,53.2,11
1.84,53.3,11
1.84,53.6,11
1.47,53.7,11
1.9,53.7,11
1.66,54.2,11
1.74,54.5,11
1.77,54.9,11
1.97,54.9,11
1.52,55.0,11
1.54,55.2,11
1.87,55.3,11
1.63,55.4,11
1.87,55.7,11
1.78,55.8,11
1.88,55.8,11
1.92,55.9,11
1.92,56.0,11
1.59,56.1,11
1.96,56.1,11
1.85,56.2,11
1.78,56.6,11
1.92,56.6,11
1.9,56.9,11
1.98,56.9,11
1.8,57.1,11
1.86,57.1,11
1.4,57.3,11
1.64,57.6,11
1.59,57.8,11
1.67,57.8,11
1.61,57.9,11
1.67,59.5,11
1.53,59.6,11
1.92,59.6,11
1.61,59.7,11
1.79,59.7,11
1.75,59.9,11
1.69,60.3,11
1.86,60.8,11
1.77,61.1,11
1.62,61.2,11
1.74,61.2,11
1.83,61.2,11
1.57,61.3,11
1.47,61.4,11
1.56,61.5,11
1.99,61.6,11
1.68,62.0,11
1.91,62.0,11
1.57,62.1,11
1.71,62.1,11
1.57,62.2,11
1.58,62.7,11
1.91,62.7,11
1.53,62.8,11
1.69,62.9,11
1.87,62.9,11
1.9,62.9,11
1.87,63.1,11
1.89,63.1,11
1.44,63.2,11
1.66,63.3,11
1.82,63.4,11
1.92,63.4,11
1.92,63.6,11
1.41,64.1,11
1.59,64.2,11
1.5,64.3,11
1.47,64.9,11
1.63,65.0,11
1.79,65.0,11
1.71,65.2,11
1.98,65.3,11
1.99,65.3,11
1.61,65.5,11
1.96,65.6,11
1.87,65.9,11
1.66,66.0,11
1.76,66.0,11
1.85,66.0,11
1.82,66.1,11
1.96,66.1,11
1.62,66.3,11
1.73,66.3,11
