altura,peso,idade
1.72,119.5,90
1.91,119.3,90
1.93,119.1,90
1.41,119.1,90
1.89,118.7,90
1.65,118.7,90
1.74,118.6,90
1.65,118.6,90
1.46,117.9,90
1.42,117.7,90
1.69,117.1,90
1.67,117.0,90
1.54,117.0,90
1.78,116.7,90
1.87,116.3,90
1.85,116.1,90
1.67,116.0,90
1.55,116.0,90
1.48,116.0,90
1.98,115.9,90
1.83,115.6,90
1.53,115.5,90
1.67,115.4,90
1.9,115.3,90
1.79,115.2,90
1.62,114.9,90
1.57,114.9,90
1.64,114.8,90
1.95,114.7,90
1.8,114.6,90
1.62,114.6,90
1.91,114.2,90
1.95,113.9,90
1.84,113.9,90
1.53,113.7,90
1.49,113.6,90
1.83,113.3,90
1.55,113.3,90
1.91,113.2,90
1.57,113.0,90
1.57,113.0,90
1.52,113.0,90
1.44,113.0,90
1.82,112.9,90
1.71,112.8,90
1.5,112.8,90
1.96,112.7,90
1.81,112.6,90
1.52,112.6,90
1.69,112.4,90
1.44,112.3,90
1.57,112.1,90
1.93,111.9,90
1.47,111.9,90
1.95,111.7,90
1.61,111.7,90
1.71,111.6,90
1.56,111.6,90
1.96,111.5,90
1.43,111.3,90
1.41,111.2,90
1.78,111.1,90
1.43,110.9,90
1.97,110.4,90
1.78,110.3,90
1.93,110.2,90
1.56,110.1,90
1.97,110.0,90
1.88,109.8,90
1.51,109.7,90
1.79,109.3,90
1.56,109.2,90
1.47,109.2,90
1.99,109.1,90
1.99,109.0,90
1.46,108.9,90
1.98,108.8,90
1.53,108.7,90
1.49,108.7,90
1.88,108.6,90
1.82,108.6,90
1.66,108.6,90
1.63,108.5,90
1.69,108.3,90
1.61,108.3,90
1.41,108.1,90
1.56,108.0,90
1.64,107.9,90
1.92,107.7,90
1.76,107.7,90
1.56,107.6,90
1.76,107.2,90
1.64,106.9,90
1.48,106.3,90
1.64,105.9,90
1.89,105.8,90
1.43,105.6,90
1.51,104.6,90
1.93,104.5,90
1.63,104.5,90
1.78,103.8,90
1.46,103.6,90
1.85,103.4,90
1.78,103.3,90
1.72,103.0,90
1.86,102.4,90
1.73,101.9,90
1.5,101.7,90
1.78,101.5,90
1.51,101.5,90
1.48,101.5,90
1.47,101.2,90
1.82,100.9,90
1.7,100.9,90
1.52,100.9,90
1.9,100.7,90
1.94,100.5,90
1.41,100.1,90
1.77,99.4,90
1.62,99.3,90
1.68,99.2,90
1.87,98.8,90
1.57,98.8,90
1.87,98.6,90
1.61,98.4,90
1.88,97.9,90
1.72,97.9,90
1.85,97.8,90
1.58,97.6,90
1.48,97.4,90
1.85,97.2,90
